Round,Date,Time,Team 1,Team 2,FT,HT
22,1970-02-18,20:00,Eintracht Braunschweig,FC Schalke 04,3-0,1-0
22,1970-04-22,20:00,Hertha BSC,VfB Stuttgart,3-1,2-0
23,1970-02-14,15:30,1. FC Köln,Hertha BSC,5-1,2-0
23,1970-02-14,15:30,Hamburger SV,TSV 1860 München,0-1,0-0
23,1970-02-14,15:30,Bayern München,Eintracht Braunschweig,5-1,2-1
23,1970-02-14,15:30,Eintracht Frankfurt,1. FC Kaiserslautern,2-1,2-1
23,1970-02-14,15:30,Bor. Mönchengladbach,Borussia Dortmund,4-2,3-0
23,1970-02-14,15:30,VfB Stuttgart,Rot-Weiss Essen,4-1,2-0
23,1970-03-25,20:00,FC Schalke 04,Werder Bremen,0-0,0-0
23,1970-04-22,20:00,Rot-Weiss Oberhausen,MSV Duisburg,2-0,1-0
23,1970-04-22,20:00,Hannover 96,Alemannia Aachen,5-0,3-0
24,1970-02-21,15:30,VfB Stuttgart,1. FC Köln,0-3,0-2
24,1970-02-21,15:30,TSV 1860 München,Rot-Weiss Oberhausen,4-1,3-1
24,1970-02-21,15:30,MSV Duisburg,FC Schalke 04,2-0,1-0
24,1970-03-24,20:00,Eintracht Braunschweig,Bor. Mönchengladbach,0-1,0-0
